ao_type,title,description,cluster
services,Lot 1 : Ile-de-France et Départements limitrophes au Département de Seine-et-Marne,"Lot 1 : Ile-de-France et Départements limitrophes au Département de Seine-et-Marne. Il s'agit d'un accord-cadre à bons de commande, conclu avec un seul opérateur économique, en application des articles L.2125-1-1°, R.2162-1 à R.2162-6, R.2162-13 et R.2162-14 du code de la commande publique. Il est conclu sans minimum de montant et de volume mais avec le volume maximum de circuits pour la durée initiale de l'accord-cadre, suivant : 294 circuits. Il donnera lieu à l'émission de bons de commande exécutés au fur et à mesure de la survenance des besoins.",2
services,Lot 4 : Villeparisis  Mitry-Mory Dammartin-en-Goële  Lizy-sur-Ourcq,"Lot 4 : Villeparisis Mitry-Mory Dammartin-en-Goële Lizy-sur-Ourcq. La consultation est passée en application de(s) article(s) L.2124-2, R.2124-2 et R.2161-2 à R.2161-5 du code de la commande publique sous la forme d'un appel d'offres ouvert européen. Il s'agit d'un accord-cadre à bons de commande, conclu avec un seul opérateur économique, en application des articles L.2125-1-1°, R.2162-1 à R.2162-6, R.2162-13 et R.2162-14 du code de la commande publique. Il est conclu sans minimum de montant et de volume mais avec le volume maximum de circuits, pour la durée initiale de l'accord-cadre, suivant : 170 circuits. Il donnera lieu à l'émission de bons de commande exécutés au fur et à mesure de la survenance des besoins.",2
works,Conception et réalisation d'un bâtiment dans le cadre d'un contrat de promotion immobilière,"Réalisation d'un bâtiment haute technologie sur le site de la Presqu'Ile Scientifique à Grenoble (38) dans le cadre d'un contrat de promotion immobilière et de son contrat d'études préliminaires. Le concept et l'aménagement de ce bâtiment BHT-4 s'inscriront dans une démarche d'intégration dans l'environnement global du projet. Le bâtiment ne sera pas implanté dans l'enceinte du Commissariat à l'énergie atomique et aux énergies alternatives (CEA). Le concept et l'aménagement de ce bâtiment BHT-4 s'inscriront dans une démarche d'intégration dans l'environnement de la place Nelson Mandela de Grenoble et plus particulièrement avec le projet prévu sur l'ilot PE1 tel que décrit dans la fiche de lot communiquée dans le dossier de consultation des entreprises. Le bâtiment aura pour but d'accueillir de jeunes entreprises, des entreprises naissantes ou des entreprises matures, issues des laboratoires de recherche de la région Rhône Alpes. L'ensemble des surfaces devra offrir la possibilité d'aménager aussi bien des bureaux que des laboratoires, plus précisément pour une activité de laboratoires standards (traitement d'air adapté, plancher à 500 kg/m²) et permettra aux entreprises de se développer. Il n'y aura pas de salle propre ni de laboratoire dédié à la manipulation d'agent biologique Le BHT-4 proposera aux preneurs des plateaux aménageables en laboratoires et bureaux (associés à ces activités de laboratoire), des moyens communs, des services et des locaux permettant à MINATEC ENTREPRISES d'assurer la gestion et l'exploitation dans les meilleures conditions",5
services,Sureté et sécurité des sites dépendants de la direction de Seine Centre,Sureté et sécurité des sites dépendants de la direction de Seine Centre,5
services,Groupement de commandes pour les assurances cyber-risques 2026 - 2029,Groupement de commandes pour les assurances cyber-risques 2026 - 2029,1
supplies,"Location et entretien d'un véhicule fourgon utilitaire caisse frigorifique, de 3,5 T neuf ou d'occasion récente, pour le Centre Hospitalier Intercommunal des Alpes du Sud, site de Gap - LFCF25","Location et entretien d'un véhicule fourgon utilitaire caisse frigorifique, de 3,5 T neuf ou d'occasion récente, pour le Centre Hospitalier Intercommunal des Alpes du Sud, site de Gap - LFCF25",5
supplies,Fourniture de câbles électriques 1er trimestre 2025 (postes 4 à 9 et 11 à 16),Fourniture de câbles électriques 1er trimestre 2025 (postes 4 à 9 et 11 à 16),6
supplies,"Fourniture de câbles électriques 1er trimestre 2025 (postes 1 à 3, 10 et 17 à 19)","Fourniture de câbles électriques 1er trimestre 2025 (postes 1 à 3, 10 et 17 à 19)",6
services,"Fourniture, location et maintenance de liaisons fibres optiques non éclairées pour raccorder les sites de la Région Nouvelle-Aquitaine sur le territoire de Bordeaux Métropole","Accord-cadre à bons de commande avec maximum. Période initiale 24 mois (maximum HT 180 000Euros), possible reconduction deux fois un an (70 000Euros HT pour chaque période de reconduction).",2
services,Diagnostic territorial de l'Eurométropole de Strasbourg : garantir l'accès à l'eau à toutes et tous,&amp;lt;br/&amp;gt;Le détail du phasage de l'opération figure au cahier des charges.&amp;lt;br/&amp;gt;Les prestations sont réglées par des prix unitaires et forfaitaires.&amp;lt;br/&amp;gt;&amp;lt;br/&amp;gt;,2
services,Mission de commissariat aux comptes,"Le présent marché public a pour objet la mission de commissariat aux comptes du Centre national des œuvres universitaires et scolaires (CNOUS) portant sur les exercices 2024 à 2026 inclus, dans les conditions mentionnées au titre II du livre 8 (notamment articles L. 823-9 et suivants) et à l'article L.823-16-1 du code de commerce. Cet appel d'offres prévoit la nomination d'un commissaire aux comptes (et d'un commissaire aux comptes suppléant appelé à remplacer, en application de l'article L.823-1 du code de commerce, le commissaire titulaire en cas de refus, d'empêchement, de démission ou de décès) pour opérer la certification des comptes annuels du CNOUS. L'exercice comptable coïncide avec l'année civile. Les comptes annuels du CNOUS comprennent le bilan, le compte de résultat et l'annexe. La mission générale comporte deux volets indissociables : • la certification des comptes annuels • les vérifications spécifiques prévues par les textes légaux et réglementaires. Cette mission comprend également les travaux de contrôle du bilan d'ouverture du premier exercice certifié.",1
supplies,"Fourniture, installation et maintenance d'un système de contrôle d'accès destiné aux différents sites de la CAF 92","Fourniture, installation et maintenance d'un système de contrôle d'accès destiné aux différents sites de la CAF 92",5
works,Lot n°1 : VRD - Terrassements - réseaux et revêtements,"La présente consultation concerne la description des travaux de VRD nécessaires à l'aménagement d'une voirie sur 2 200 ml sur une largeur moyenne de 10m, avec un traitement particulier des espaces suivants : - Raccordement de la chaussée au niveau du pont de l'Amitié - Carrefour avec les voiries de desserte locale perpendiculaire : Rue de la Malterie, rue de Seine, Rue de la Baignade, Chemin de la sous-station - Raccordement du projet à la rue de l'Ecorne-Boeuf (en limite de commune). Le projet est découpé en 7 secteurs : - Le Grand Bourg (berges végétales) - Le parc de Trousseau (berges végétales) - Ecoute-s'il-Pleut (berges loisirs) - La base nautique (berges loisirs) - La baignade (berges loisirs) - Le port d'escale (berge activités) - Le port de plaisance (berge activités)",5
works,"Lot n°3 : Plantation, espaces verts","- Les installations et préparations, - Les terrassements ; - La mise en place des terres ; - Les revêtements en stabilisé fertile ; - Les plantations, - Les travaux forestiers de régénération sur les bosquets existants ;",5
works,Lot n°4 : Mobilier urbain - serrurerie,"Les travaux du présent comprennent : - La réalisation des fondations des mobiliers - La fourniture et pose des matériels prescrits, - La protection des équipements, mobiliers et accessoires",1
services,Concours restreint de maîtrise d'oeuvre Esquisse + pour la construction de la Maison des Familles,"Ce projet a pour objectif d'accueillir les familles, les enfants pour les activités périscolaires et extra scolaires ; le relais petite enfance ; le lieu accueil enfants-parents. Sur un espace d'environ 1 300 m² et la création de 700 m² d'espaces extérieurs.",6
supplies,COMBINAISON EQUIPAGE ENGIN BLINDE (EEB) ZONE CHAUDE THERMOSTABLE - COLORIS NOIR,COMBINAISON EQUIPAGE ENGIN BLINDE (EEB) ZONE CHAUDE THERMOSTABLE - COLORIS NOIR,0
supplies,CHEMISE TACTIQUE GPB NON THERMOSTABLE - COLORIS NOIR,CHEMISE TACTIQUE GPB NON THERMOSTABLE - COLORIS NOIR,0
supplies,"PARKA NON THERMOSTABLE - COLORIS NOIR
SURPANTALON NON THERMOSTABLE - COLORIS NOIR",PARKA NON THERMOSTABLE - COLORIS NOIR SURPANTALON NON THERMOSTABLE - COLORIS NOIR,0
supplies,"CHEMISE DE COMBAT F3 NON THERMOSTABLE - COLORIS NOIR
PANTALON DE COMBAT F3 NON THERMOSTABLE - COLORIS NOIR",CHEMISE DE COMBAT F3 NON THERMOSTABLE - COLORIS NOIR PANTALON DE COMBAT F3 NON THERMOSTABLE - COLORIS NOIR,0
supplies,"GUETRE - COLORIS COYOTE 
GUETRE - COLORIS NOIR",GUETRE - COLORIS COYOTE GUETRE - COLORIS NOIR,6
works,VRD,"Travaux préparatoires cuisines provisoires, divers réseaux (EU, EP, AEP elec) compris tranchées sablées, canalisations PVC et regards EU fonte, réseaux EP compris tranchées sablées, canalisations PVC regards béton, tampons fonte et réfection de tranchées enrobé, terrassement",6
works,Curage,"Travaux de démolition, curage du second ?uvre",6
works,Gros-oeuvre / Démolition,"installations de chantier, démolition superstructure, dallage, charpente couverture, , désamiantage., Travaux de Gros ?uvre, Fondations sur micro pieux, maçonnerie, escaliers.",5
works,Parement briquettes,"Rénovation façade existante et enduit minéral, parement briquette, ITE",6
works,Structure charpente - MOB,"Charpente, mur à ossature bois, isolation",0
works,Bardage,"Bardage façon fibro ciment, acrotère, bavette en pied de bardage, moyen de levage",6
works,Etanchéité / Zinguerie,"couverture double peau thermo acoustique, Zinguerie, Terrasses accessibles et non accessibles",6
works,Menuiseries extérieures aluminium,"fourniture et pose de menuiseries extérieures aluminium sur MOB et maçonnerie, portes extérieures vitrées, portes extérieures métalliques. Châssis de toiture, garde-corps et main courante, échelle crinoline",6
works,Electricité,"Alimentation générale, alimentation provisoire cuisine modulaire, tableaux divisionnaires, éclairage, commandes, éclairage de sécurité, SSI, PPMS, réseaux informatiques",1
works,Chauffage / Plomberie / Sanitaire,"purge et consignation de réseaux, Réseaux chauffage distribution acier, fourniture et pose de radiateurs tubulaires, sous station, ventilation double flux, désenfumage, divers travaux de plomberie, sanitaires (réseaux AEP, EU)",5
works,Plâtrerie / Faux-plafonds,"doublages BA 13, BA 18, hydro, sur ossature métal,, cloisons 98/48, plafonds CF 1h protections d?angles saillants, caissons CF 1h, divers raccords pose des huisseries intérieures, pose de faux plafonds acoustiques. Isolation plancher",0
works,Cloisons isothermes,"Parois isotherme cuisine, parois isotherme chambre froides et négatives, lisses de protections, portes isothermes",6
works,Peinture,"mise en peinture de parois existantes, peinture sur menuiseries bois (portes, plinthes, et trappes de gaines, ), peinture sur canalisations et radiateurs, signalétique, incendie plans des niveaux, nettoyage de chantier",6
works,Carrelage,"Chape et traitement de dalle, étanchéité sous carrelage, carrelage U4.P4S.E3.C2 ? R12, traitement des escaliers, accessoires de sols, siphons, revêtement des parois verticales (SPEC)",6
works,"Menuiseries bois, aménagements","fourniture de blocs portes E30, EI30 et EI60, portes de cabines et placards, mobiliers et aménagement (claustras bois), organigramme",6
works,Ascenseur,Ascenseur double accès 630 kg PMR,4
works,Cuisines,"Equipements de cuisines (réception, vestiaires H et F, Rayonnage, légumerie / déboitage, Cuisson, plonge batterie, 2 lignes de Selfs complètes. Ouvrages à réaliser : Froid",6
works,Laverie semi-automatique,"Fourniture et pose de laverie semi-automatique, traitement des bio déchets par voie sèche, local chimie / entretien PSE : Trieuse à couverts",6
works,Cuisine provisoire,"Cuisine modulaire complète (vestiaires H et F, réserve sèche, chambre positive, préparation froide, légumerie, remise en température, lave batterie, quai + rampe élève, bac à graisse, 3 salles de restauration ; zone de self. PSE : Cellule de refroidissement",6
services,Mise à disposition personnel intérimaire,"Afin de gérer l'imprévisible et permettre la continuité du Service Public, il a été décidé de recourir à l'intérim pour notre établissement Martigues Stationnement. Le recours à du personnel intérimaire dépend: - Du remplacement temporaire d'un agent indisponible (maladie, congé, formation, autorisation d'absence, …) - De besoins saisonniers - De l'accroissement temporaire d'activité - De la vacance temporaire d'un employé dans l'attente du recrutement d'un agent",1
services,Gestion du système d'information de la Communauté de Communes Ouche et Montagne,Gestion du système d'information de la Communauté de Communes Ouche et Montagne,1
services,MP202501 MARCHE DE RESTAURATION,MP202501 MARCHE DE RESTAURATION FOURNITURES DE REPAS DE L EHPAD LE GENTIL HOME DE FEGERSHEIM,5
services,24M0449AOO _ Mission d'assistance technique pour les études de conception et d'optimisation des carrefours à feux - Années 2025 à 2029,"L'accord-cadre sera exécuté par l'émission de bons de commande. Les prestations sont réglées par des prix unitaires. Les montants estimatifs sont indicatifs et comprennent la totalité des périodes de reconduction. Les montants estimatifs sont indicatifs et comprennent les options (prestations similaires et reconductions). Cet étude doit permettre la mise en place de programmes de régulation confirmant et optimisant les transports collectifs tout en conservant une circulation optimale de tous les usagers pour l'ensemble des carrefours à feux. Cet accord cadre concerne les prestations depuis l'analyse du fonctionnement de l'installation jusqu'à la mise en service du fonctionnement validé: -Diagnostic de l'installation et propositions, -Les études d'aménagement, -Les études de régulation, -La programmation du contrôleur et les essais sur banc de test -La mise en service sur site, les réglages éventuels, -La fourniture des dossiers mis à jour",2
services,Fourniture de titres restaurants pour les agents de Grand Paris Grand Est,La mise en concurrence porte sur la fourniture de titres restaurants pour les agents de Grand Paris Grand Est,6
works,Relance du lot n°12 de la phase 2 de l'opération de restructuration et renouvellement des intérieurs du Palais du Tau,"La présente consultation a pour objet la relance du lot n°12 de la phase 2 de l'opération globale de restructuration et renouvellement des aménagements intérieurs et de la scénographie du parcours de visite du Palais du Tau, à Reims (51). Le lot a pour objet des prestations d'installation d'ascenseurs.",5
services,Maîtrise d'oeuvre dans le cadre de la rénovation scénique du Palais Garnier,"Mission de maîtrise d'oeuvre de bâtiment comprenant une mission de base au sens du livre IV du code de la commande publique étendue à des missions complémentaires. Mission de base : - Études de diagnostics complémentaires (DIA) - Études d'avant-projet sommaire (APS) - Élaboration du dossier de demandes d'autorisations et autres demandes administratives (PC) - Études d'avant-projet définitif (APD) - Études de projet (PRO) - Assistance à la passation des contrats de travaux (ACT/DCE) - Visa (VISA) - Études d'exécution et de synthèse réalisées par le Maître d'oeuvre (EXE) - Direction de l'exécution des travaux (DET) - Assistance aux opérations de réception, de prise en main et pendant la garantie de parfait achèvement (AOR) - Suivi GPA Missions complémentaires : - Synthèse architecturale - Signalétique (SIGN) - Coordination Système de sécurité Incendie (CSSI) - BIM Manager (niveau 2) Le marché se décompose en une tranche ferme et trois tranches optionnelles. - Tranche ferme - Travaux de rénovation scénique du Palais Garnier - Tranche optionnelle 1 - Modernisation de la fosse d'orchestre - Tranche optionnelle 2 - Table élévatrice de l'accès de livraison (abords nord) - Tranche optionnelle 3 - Installation scénique temporaire La part de l'enveloppe prévisionnelle du maitre de l'ouvrage affectée aux travaux est fixée à 37 000 000 euro(s) HT (valeur septembre 2024). - Tranche ferme 33 500 000 euro(s) HT - Tranche optionnelle 1 2 600 000 euro(s) HT - Tranche optionnelle 2 500 000 euro(s) HT - Tranche optionnelle 3 400 000 euro(s) HT Cf. projet détaillé dans les pièces du DCE",1
services,Collecte en porte à porte et en point de regroupement sur le secteur A de la communauté de communes Le Grésivaudan,Collecte en porte à porte et en point de regroupement sur le secteur A de la communauté de communes Le Grésivaudan,6
services,Collecte en porte à porte et en point de regroupement sur le secteur B de la communauté de communes Le Grésivaudan,Collecte en porte à porte et en point de regroupement sur le secteur B de la communauté de communes Le Grésivaudan,6
services,Collecte en porte à porte et en point de regroupement sur le secteur C de la communauté de communes Le Grésivaudan,Collecte en porte à porte et en point de regroupement sur le secteur C de la communauté de communes Le Grésivaudan,6
services,Collecte en apport volontaire sur les 16 communes de la communauté de communes Le Grésivaudan,Collecte en apport volontaire sur les 16 communes de la communauté de communes Le Grésivaudan,1
services,"Collecte en porte à porte, point de regroupement et apport volontaire sur les 27 communes de la communauté de communes Coeur de Savoie","Collecte en porte à porte, point de regroupement et apport volontaire sur les 27 communes de la communauté de communes Coeur de Savoie",6
supplies,Fourniture de cartes cadeaux pour le compte de l'INPI,"La présente consultation concerne la fourniture de cartes cadeaux offertes aux collaborateurs de l'INPI et aux anciens collaborateurs à la retraite depuis moins de 5 ans à l'occasion d'évènements particuliers (naissance, départ à la retraite, rentrée scolaire et fêtes de fin d'année).",1
services,Lot n°1,"Véhicules de moins de 3,5 tonnes - secteur BORDEAUX NORD - AC sans Mini - Maxi à 20 000 euro(s) HT - Le montant estimatif indiqué est fourni à titre purement indicatif et représentatif de la moyenne des commandes des années précédentes (2021 à 2023)",2
services,Lot n°2,"Véhicules de moins de 3,5 tonnes - secteur BORDEAUX SUD - AC sans Mini - Maxi à 8 000 euro(s) HT - Le montant estimatif indiqué est fourni à titre purement indicatif et représentatif de la moyenne des commandes des années précédentes (2021 à 2023)",2
services,Lot n°3,"Véhicules de moins de 3,5 tonnes - secteur MEDOC et BASSIN D'ARCACHON - AC sans Mini - Maxi à 6 000 euro(s) HT - Le montant estimatif indiqué est fourni à titre purement indicatif et représentatif de la moyenne des commandes des années précédentes (2021 à 2023)",2
services,Lot n°4,"Véhicules de moins de 3,5 tonnes - secteur LANGON et SUD GIRONDE - AC sans Mini - Maxi à 6 000 euro(s) HT - Le montant estimatif indiqué est fourni à titre purement indicatif et représentatif de la moyenne des commandes des années précédentes (2021 à 2023)",2
services,Lot n°5,"Véhicules de moins de 3,5 tonnes - secteur LIBOURNAIS et HAUTE GIRONDE - AC sans Mini - Maxi à 8 000 euro(s) HT - Le montant estimatif indiqué est fourni à titre purement indicatif et représentatif de la moyenne des commandes des années précédentes (2021 à 2023)",2
services,Lot n°6,"Véhicules de plus de 3,5 tonnes - AC sans Mini - Maxi à 12 000 euro(s) HT - Le montant estimatif indiqué est fourni à titre purement indicatif et représentatif de la moyenne des commandes des années précédentes (2021 à 2023)",2
services,Maintenance des systèmes anti intrusions pour la ville de Maisons-Laffitte.,Maintenance des systèmes anti intrusions pour la ville de Maisons-Laffitte.,5
services,Unique,Délai d'exécution mentionné dans chaque bon de commande.,6
supplies,Fourniture de dispositifs médicaux aux établissements adhérents au groupement d'achats régional Poitou-Charentes-Vendée,"Le Centre Hospitalier de Niort a été désigné en tant que coordonnateur, chargé de procéder à l'organisation de l'ensemble des opérations de sélection d'un ou plusieurs cocontractants, de signer et de notifier les marchés. Les membres du groupement s'assurent pour ce qui les concerne, de leur bonne exécution. La procédure de consultation utilisée est celle de l'appel d'offres ouvert passé en application du Code de la Commande Publique. Le marché est un accord-cadre à bons de commandes mono-attributaire, sans minimum et avec un maximum",1
services,Prestation de service pour l'ensemble de la gestion des régimes complémentaires de prévoyance et de frais de santé des salariés de l'INERIS (Courtier),Prestation de service pour l'ensemble de la gestion des régimes complémentaires de prévoyance et de frais de santé des salariés de l'INERIS (Courtier),1
